repeat,drifter_id,role,season,decade
0,9823731,inference,MAM,1990
0,9812046,validation,MAM,1990
0,9815127,inference,DJF,2000
0,9714827,inference,SON,1990
0,17300,validation,DJF,2000
0,19465,validation,MAM,2000
0,22167,validation,SON,2000
0,7647,inference,MAM,2000
0,27064,inference,SON,2000
0,27063,inference,DJF,2000
0,28864,inference,DJF,2000
0,28867,validation,MAM,2000
0,27364,inference,MAM,2000
0,27275,inference,MAM,2000
0,26887,inference,SON,2000
0,37634,inference,DJF,2000
0,37635,validation,DJF,2000
0,37636,inference,DJF,2000
0,37637,validation,DJF,2000
0,21329,inference,JJA,2000
0,22004,inference,JJA,2000
0,22513,inference,JJA,2000
0,39611,validation,JJA,2000
0,39610,validation,JJA,2000
0,39609,validation,SON,2000
0,39120,inference,DJF,2000
0,21156,inference,MAM,2000
0,21147,inference,MAM,2000
0,47577,inference,SON,2000
0,55144,inference,JJA,2000
0,2536363,inference,DJF,2000
0,55145,inference,JJA,2000
0,55148,inference,JJA,2000
0,55121,inference,JJA,2000
0,55110,inference,JJA,2000
0,55120,inference,JJA,2000
0,55355,inference,SON,2000
0,2556329,inference,DJF,2000
0,55162,inference,DJF,2000
0,55128,inference,DJF,2000
0,55149,inference,DJF,2000
0,62311,inference,MAM,2000
0,59861,inference,DJF,2000
0,63944,validation,JJA,2000
0,62225,validation,SON,2000
0,62904,inference,DJF,2000
0,72111,validation,MAM,2000
0,72105,validation,DJF,2000
0,72103,inference,DJF,2000
0,72102,inference,DJF,2000
0,72059,inference,MAM,2000
0,72113,validation,JJA,2000
0,72106,inference,SON,2000
0,72062,inference,MAM,2000
0,72070,inference,MAM,2000
0,72074,inference,MAM,2000
0,72073,validation,MAM,2000
0,72061,validation,MAM,2000
0,72121,inference,MAM,2000
0,72120,inference,MAM,2000
0,72125,validation,MAM,2000
0,59819,inference,MAM,2000
0,71113,inference,DJF,2000
0,71181,inference,SON,2000
0,71210,inference,SON,2000
0,71177,inference,SON,2000
0,71172,inference,SON,2000
0,71173,inference,SON,2000
0,71179,inference,SON,2000
0,72037,inference,SON,2000
0,72038,inference,SON,2000
0,59858,validation,DJF,2000
0,71475,inference,MAM,2000
0,78919,inference,JJA,2000
0,79181,validation,SON,2000
0,79291,inference,MAM,2000
0,79296,inference,MAM,2000
0,79224,validation,SON,2000
0,79228,inference,JJA,2000
0,75193,inference,JJA,2000
0,82242,inference,DJF,2010
0,93015,inference,SON,2010
0,89826,validation,DJF,2000
0,92916,inference,DJF,2010
0,89822,inference,JJA,2010
0,88582,inference,DJF,2010
0,88590,inference,SON,2010
0,98936,inference,SON,2010
0,90466,inference,JJA,2010
0,81994,inference,JJA,2010
0,40176,validation,DJF,2010
0,82413,validation,MAM,2010
0,82447,inference,DJF,2010
0,93001,validation,JJA,2010
0,37032,inference,DJF,2010
0,39891,inference,SON,2010
0,39890,validation,SON,2010
0,81921,validation,SON,2010
0,81916,inference,SON,2010
0,107572,inference,SON,2010
0,101569,inference,MAM,2010
0,107573,validation,MAM,2010
0,101675,inference,MAM,2010
0,101818,validation,MAM,2010
0,101988,inference,MAM,2010
0,101907,inference,JJA,2010
0,101551,validation,JJA,2010
0,300034012724770,inference,MAM,2010
0,107588,validation,MAM,2010
0,101575,inference,JJA,2010
0,101618,validation,DJF,2010
0,123247,inference,DJF,2010
0,114550,inference,MAM,2010
0,109235,inference,MAM,2010
0,122602,validation,SON,2010
0,101623,inference,SON,2010
0,116059,inference,SON,2010
0,122668,validation,DJF,2010
0,122674,inference,DJF,2010
0,114599,validation,SON,2010
0,135914,inference,SON,2010
0,116148,inference,SON,2010
0,123286,validation,MAM,2010
0,116365,inference,MAM,2010
0,116067,inference,MAM,2010
0,133240,inference,JJA,2010
0,300234060018400,inference,JJA,2010
0,133211,validation,JJA,2010
0,139081,inference,SON,2010
0,114793,inference,SON,2010
0,114794,inference,SON,2010
0,300234061477400,inference,DJF,2010
0,132540,inference,SON,2010
0,132542,validation,MAM,2010
0,132543,inference,JJA,2010
0,132504,validation,JJA,2010
0,139742,inference,SON,2010
0,145792,inference,JJA,2010
0,139771,inference,SON,2010
0,145813,validation,DJF,2010
0,300234063648930,inference,JJA,2010
0,300234063225620,inference,DJF,2010
0,300234063640940,validation,SON,2010
0,300234063997620,inference,SON,2010
0,300234063128200,inference,MAM,2010
0,300234063746360,inference,DJF,2010
0,300234064014100,inference,MAM,2010
0,300234064018110,inference,MAM,2010
0,300234063251240,inference,JJA,2010
0,300234063250690,inference,SON,2010
0,300234064015090,inference,MAM,2010
0,300234064909860,inference,JJA,2010
0,300234064017030,validation,DJF,2010
0,300234063515980,inference,SON,2010
0,300234064015050,inference,SON,2010
0,300234064015000,inference,SON,2010
0,300234064015420,inference,SON,2010
0,300234064011410,inference,JJA,2010
0,300234065317820,inference,SON,2010
0,300234063942770,inference,SON,2010
0,300234064909820,inference,DJF,2010
0,300234065382690,inference,MAM,2010
0,300234065317890,validation,JJA,2010
0,101622,validation,SON,2010
0,300234065317720,inference,JJA,2010
0,300234063940880,inference,JJA,2010
0,300234065311630,inference,DJF,2010
0,145689,inference,MAM,2010
0,145711,inference,DJF,2010
0,300234066399370,inference,MAM,2010
0,300234067876670,inference,DJF,2020
0,300234065703970,inference,DJF,2020
0,300234065311730,inference,JJA,2020
0,300234065311650,inference,JJA,2020
0,300234067548160,validation,DJF,2020
0,300534061557870,inference,JJA,2020
0,300534061551810,inference,JJA,2020
0,300534061551870,inference,SON,2020
0,300534061551860,validation,MAM,2020
0,300234061199810,inference,MAM,2020
0,300234060159340,inference,DJF,2020
0,300534063920500,inference,JJA,2020
0,300234061198840,inference,SON,2020
0,300534064294290,inference,SON,2020
0,300534064036970,validation,JJA,2020
0,300534064034990,validation,JJA,2020
0,300534064295230,inference,SON,2020
1,8909322,inference,DJF,1980
1,8909323,validation,DJF,1980
1,9009327,inference,DJF,1990
1,9009329,inference,MAM,1990
1,9012731,inference,MAM,1990
1,9012734,inference,MAM,1990
1,9012732,inference,JJA,1990
1,9012733,inference,JJA,1990
1,9012735,inference,JJA,1990
1,9012737,inference,JJA,1990
1,9012740,inference,JJA,1990
1,9012741,inference,JJA,1990
1,9012749,inference,JJA,1990
1,9012748,validation,JJA,1990
1,9012751,inference,SON,1990
1,9012744,inference,SON,1990
1,9012746,inference,SON,1990
1,9012752,validation,SON,1990
1,9012753,validation,SON,1990
1,9012743,inference,DJF,1990
1,9012763,inference,SON,1990
1,9012758,inference,DJF,1990
1,9012759,inference,DJF,1990
1,9012761,validation,DJF,1990
1,9012762,inference,DJF,1990
1,9012760,validation,DJF,1990
1,9012765,inference,DJF,1990
1,9112764,validation,DJF,1990
1,9112769,inference,DJF,1990
1,9112776,validation,DJF,1990
1,9112771,inference,MAM,1990
1,9112773,inference,MAM,1990
1,9112772,inference,MAM,1990
1,9112767,validation,MAM,1990
1,9122732,validation,JJA,1990
1,9122734,inference,JJA,1990
1,9122735,inference,JJA,1990
1,9122731,inference,JJA,1990
1,9122737,inference,JJA,1990
1,7708593,inference,JJA,1990
1,9423709,inference,JJA,1990
1,9423714,inference,JJA,1990
1,9423754,validation,MAM,1990
1,9423487,inference,JJA,1990
1,9423750,inference,DJF,1990
1,9423719,inference,SON,1990
1,9423721,inference,SON,1990
1,9423766,inference,DJF,1990
1,9423767,inference,DJF,1990
1,9423758,inference,DJF,1990
1,9423579,inference,MAM,1990
1,9423771,inference,DJF,1990
1,9423769,inference,MAM,1990
1,9423763,inference,DJF,1990
1,9423764,inference,MAM,1990
1,9423718,inference,MAM,1990
1,9423773,validation,MAM,1990
1,9423770,validation,JJA,1990
1,9423789,validation,MAM,1990
1,9423774,inference,JJA,1990
1,9423776,inference,JJA,1990
1,9423800,inference,SON,1990
1,9423805,inference,DJF,1990
1,9423797,inference,SON,1990
1,9624886,inference,MAM,1990
1,9624885,inference,MAM,1990
1,9624887,inference,MAM,1990
1,9624889,inference,MAM,1990
1,9624910,validation,MAM,1990
1,9423818,validation,JJA,1990
1,9624909,inference,MAM,1990
1,9624927,inference,JJA,1990
1,9624939,inference,JJA,1990
1,9624925,validation,JJA,1990
1,9423547,inference,DJF,1990
1,9525721,validation,JJA,1990
1,9825539,inference,JJA,1990
1,9821159,validation,DJF,1990
1,9823729,inference,MAM,1990
1,9815338,inference,MAM,1990
1,9815168,validation,JJA,1990
1,9815075,inference,MAM,1990
1,9624970,inference,JJA,1990
1,9823731,validation,MAM,1990
1,9812046,inference,MAM,1990
1,9815127,inference,DJF,2000
1,9714827,validation,SON,1990
1,17300,inference,DJF,2000
1,19465,validation,MAM,2000
1,22167,inference,SON,2000
1,7647,inference,MAM,2000
1,27064,validation,SON,2000
1,27063,inference,DJF,2000
1,28864,validation,DJF,2000
1,28867,validation,MAM,2000
1,27364,inference,MAM,2000
1,27275,inference,MAM,2000
1,26887,inference,SON,2000
1,37634,validation,DJF,2000
1,37635,inference,DJF,2000
1,37636,inference,DJF,2000
1,37637,inference,DJF,2000
1,21329,validation,JJA,2000
1,22004,inference,JJA,2000
1,22513,inference,JJA,2000
1,39611,inference,JJA,2000
1,39610,inference,JJA,2000
1,39609,validation,SON,2000
1,39120,inference,DJF,2000
1,21156,validation,MAM,2000
1,21147,inference,MAM,2000
1,47577,inference,SON,2000
1,55144,inference,JJA,2000
1,2536363,validation,DJF,2000
1,55145,inference,JJA,2000
1,55148,validation,JJA,2000
1,55121,validation,JJA,2000
1,55110,inference,JJA,2000
1,55120,validation,JJA,2000
1,55355,inference,SON,2000
1,2556329,inference,DJF,2000
1,55162,validation,DJF,2000
1,55128,validation,DJF,2000
1,55149,inference,DJF,2000
1,62311,inference,MAM,2000
1,59861,inference,DJF,2000
1,63944,inference,JJA,2000
1,62225,inference,SON,2000
1,62904,inference,DJF,2000
1,72111,inference,MAM,2000
1,72105,validation,DJF,2000
1,72103,inference,DJF,2000
1,72102,inference,DJF,2000
1,72059,inference,MAM,2000
1,72113,inference,JJA,2000
1,72106,validation,SON,2000
1,72062,inference,MAM,2000
1,72070,inference,MAM,2000
1,72074,inference,MAM,2000
1,72073,inference,MAM,2000
1,72061,validation,MAM,2000
1,72121,validation,MAM,2000
1,72120,inference,MAM,2000
1,72125,inference,MAM,2000
1,59819,inference,MAM,2000
1,71113,inference,DJF,2000
1,71181,inference,SON,2000
1,71210,inference,SON,2000
1,71177,inference,SON,2000
1,71172,inference,SON,2000
1,71173,inference,SON,2000
1,71179,inference,SON,2000
1,72037,inference,SON,2000
1,72038,validation,SON,2000
1,59858,inference,DJF,2000
1,71475,inference,MAM,2000
1,78919,inference,JJA,2000
1,79181,validation,SON,2000
1,79291,inference,MAM,2000
1,79296,validation,MAM,2000
1,79224,inference,SON,2000
1,79228,inference,JJA,2000
1,75193,inference,JJA,2000
1,82242,inference,DJF,2010
1,93015,inference,SON,2010
1,89826,inference,DJF,2000
1,92916,inference,DJF,2010
1,89822,inference,JJA,2010
1,88582,inference,DJF,2010
1,88590,validation,SON,2010
1,98936,inference,SON,2010
1,90466,validation,JJA,2010
1,81994,inference,JJA,2010
1,40176,inference,DJF,2010
1,82413,inference,MAM,2010
1,82447,inference,DJF,2010
1,93001,validation,JJA,2010
1,37032,validation,DJF,2010
1,39891,inference,SON,2010
1,39890,inference,SON,2010
1,81921,validation,SON,2010
1,81916,inference,SON,2010
1,107572,inference,SON,2010
1,101569,inference,MAM,2010
1,107573,validation,MAM,2010
1,101675,inference,MAM,2010
1,101818,inference,MAM,2010
1,101988,inference,MAM,2010
1,101907,inference,JJA,2010
1,101551,validation,JJA,2010
1,300034012724770,inference,MAM,2010
1,107588,inference,MAM,2010
1,101575,inference,JJA,2010
1,101618,inference,DJF,2010
1,123247,validation,DJF,2010
1,114550,validation,MAM,2010
1,109235,inference,MAM,2010
1,122602,inference,SON,2010
1,101623,inference,SON,2010
1,116059,inference,SON,2010
1,122668,validation,DJF,2010
1,122674,inference,DJF,2010
1,114599,inference,SON,2010
1,135914,validation,SON,2010
1,116148,inference,SON,2010
1,123286,inference,MAM,2010
1,116365,inference,MAM,2010
1,116067,inference,MAM,2010
1,133240,inference,JJA,2010
1,300234060018400,inference,JJA,2010
1,133211,inference,JJA,2010
1,139081,inference,SON,2010
1,114793,inference,SON,2010
1,114794,inference,SON,2010
1,300234061477400,inference,DJF,2010
1,132540,validation,SON,2010
1,132542,validation,MAM,2010
1,132543,inference,JJA,2010
1,132504,inference,JJA,2010
1,139742,validation,SON,2010
1,145792,inference,JJA,2010
1,139771,inference,SON,2010
1,145813,inference,DJF,2010
1,300234063648930,validation,JJA,2010
1,300234063225620,validation,DJF,2010
1,300234063640940,inference,SON,2010
1,300234063997620,validation,SON,2010
1,300234063128200,inference,MAM,2010
1,300234063746360,validation,DJF,2010
1,300234064014100,inference,MAM,2010
1,300234064018110,validation,MAM,2010
1,300234063251240,inference,JJA,2010
1,300234063250690,validation,SON,2010
1,300234064015090,inference,MAM,2010
1,300234064909860,inference,JJA,2010
1,300234064017030,inference,DJF,2010
1,300234063515980,inference,SON,2010
1,300234064015050,inference,SON,2010
1,300234064015000,inference,SON,2010
1,300234064015420,inference,SON,2010
1,300234064011410,inference,JJA,2010
1,300234065317820,inference,SON,2010
1,300234063942770,validation,SON,2010
1,300234064909820,inference,DJF,2010
1,300234065382690,inference,MAM,2010
1,300234065317890,validation,JJA,2010
1,101622,inference,SON,2010
1,300234065317720,inference,JJA,2010
1,300234063940880,inference,JJA,2010
1,300234065311630,inference,DJF,2010
1,145689,inference,MAM,2010
1,145711,inference,DJF,2010
1,300234066399370,validation,MAM,2010
1,300234067876670,inference,DJF,2020
1,300234065703970,inference,DJF,2020
1,300234065311730,inference,JJA,2020
1,300234065311650,validation,JJA,2020
1,300234067548160,inference,DJF,2020
1,300534061557870,inference,JJA,2020
1,300534061551810,inference,JJA,2020
1,300534061551870,inference,SON,2020
1,300534061551860,inference,MAM,2020
1,300234061199810,validation,MAM,2020
1,300234060159340,validation,DJF,2020
1,300534063920500,validation,JJA,2020
1,300234061198840,inference,SON,2020
1,300534064294290,inference,SON,2020
1,300534064036970,inference,JJA,2020
1,300534064034990,inference,JJA,2020
1,300534064295230,inference,SON,2020
2,8909322,inference,DJF,1980
2,8909323,validation,DJF,1980
2,9009327,inference,DJF,1990
2,9009329,inference,MAM,1990
2,9012731,inference,MAM,1990
2,9012734,validation,MAM,1990
2,9012732,inference,JJA,1990
2,9012733,inference,JJA,1990
2,9012735,inference,JJA,1990
2,9012737,validation,JJA,1990
2,9012740,validation,JJA,1990
2,9012741,inference,JJA,1990
2,9012749,inference,JJA,1990
2,9012748,inference,JJA,1990
2,9012751,inference,SON,1990
2,9012744,inference,SON,1990
2,9012746,inference,SON,1990
2,9012752,validation,SON,1990
2,9012753,validation,SON,1990
2,9012743,validation,DJF,1990
2,9012763,inference,SON,1990
2,9012758,inference,DJF,1990
2,9012759,validation,DJF,1990
2,9012761,inference,DJF,1990
2,9012762,validation,DJF,1990
2,9012760,inference,DJF,1990
2,9012765,inference,DJF,1990
2,9112764,inference,DJF,1990
2,9112769,inference,DJF,1990
2,9112776,inference,DJF,1990
2,9112771,inference,MAM,1990
2,9112773,validation,MAM,1990
2,9112772,inference,MAM,1990
2,9112767,validation,MAM,1990
2,9122732,inference,JJA,1990
2,9122734,inference,JJA,1990
2,9122735,validation,JJA,1990
2,9122731,inference,JJA,1990
2,9122737,inference,JJA,1990
2,7708593,inference,JJA,1990
2,9423709,validation,JJA,1990
2,9423714,inference,JJA,1990
2,9423754,inference,MAM,1990
2,9423487,inference,JJA,1990
2,9423750,inference,DJF,1990
2,9423719,validation,SON,1990
2,9423721,inference,SON,1990
2,9423766,inference,DJF,1990
2,9423767,inference,DJF,1990
2,9423758,validation,DJF,1990
2,9423579,inference,MAM,1990
2,9423771,inference,DJF,1990
2,9423769,inference,MAM,1990
2,9423763,inference,DJF,1990
2,9423764,inference,MAM,1990
2,9423718,inference,MAM,1990
2,9423773,validation,MAM,1990
2,9423770,inference,JJA,1990
2,9423789,inference,MAM,1990
2,9423774,inference,JJA,1990
2,9423776,inference,JJA,1990
2,9423800,inference,SON,1990
2,9423805,inference,DJF,1990
2,9423797,inference,SON,1990
2,9624886,inference,MAM,1990
2,9624885,validation,MAM,1990
2,9624887,inference,MAM,1990
2,9624889,inference,MAM,1990
2,9624910,validation,MAM,1990
2,9423818,validation,JJA,1990
2,9624909,inference,MAM,1990
2,9624927,inference,JJA,1990
2,9624939,validation,JJA,1990
2,9624925,inference,JJA,1990
2,9423547,validation,DJF,1990
2,9525721,inference,JJA,1990
2,9825539,inference,JJA,1990
2,9821159,inference,DJF,1990
2,9823729,inference,MAM,1990
2,9815338,inference,MAM,1990
2,9815168,validation,JJA,1990
2,9815075,inference,MAM,1990
2,9624970,inference,JJA,1990
2,9823731,inference,MAM,1990
2,9812046,inference,MAM,1990
2,9815127,inference,DJF,2000
2,9714827,inference,SON,1990
2,17300,inference,DJF,2000
2,19465,validation,MAM,2000
2,22167,inference,SON,2000
2,7647,validation,MAM,2000
2,27064,inference,SON,2000
2,27063,inference,DJF,2000
2,28864,inference,DJF,2000
2,28867,inference,MAM,2000
2,27364,inference,MAM,2000
2,27275,validation,MAM,2000
2,26887,validation,SON,2000
2,37634,validation,DJF,2000
2,37635,validation,DJF,2000
2,37636,inference,DJF,2000
2,37637,inference,DJF,2000
2,21329,inference,JJA,2000
2,22004,inference,JJA,2000
2,22513,inference,JJA,2000
2,39611,validation,JJA,2000
2,39610,inference,JJA,2000
2,39609,inference,SON,2000
2,39120,inference,DJF,2000
2,21156,inference,MAM,2000
2,21147,inference,MAM,2000
2,47577,inference,SON,2000
2,55144,inference,JJA,2000
2,2536363,inference,DJF,2000
2,55145,inference,JJA,2000
2,55148,inference,JJA,2000
2,55121,inference,JJA,2000
2,55110,validation,JJA,2000
2,55120,inference,JJA,2000
2,55355,inference,SON,2000
2,2556329,validation,DJF,2000
2,55162,inference,DJF,2000
2,55128,validation,DJF,2000
2,55149,inference,DJF,2000
2,62311,inference,MAM,2000
2,59861,inference,DJF,2000
2,63944,inference,JJA,2000
2,62225,validation,SON,2000
2,62904,inference,DJF,2000
2,72111,inference,MAM,2000
2,72105,inference,DJF,2000
2,72103,inference,DJF,2000
2,72102,inference,DJF,2000
2,72059,inference,MAM,2000
2,72113,validation,JJA,2000
2,72106,validation,SON,2000
2,72062,inference,MAM,2000
2,72070,inference,MAM,2000
2,72074,validation,MAM,2000
2,72073,inference,MAM,2000
2,72061,inference,MAM,2000
2,72121,inference,MAM,2000
2,72120,inference,MAM,2000
2,72125,inference,MAM,2000
2,59819,inference,MAM,2000
2,71113,validation,DJF,2000
2,71181,validation,SON,2000
2,71210,inference,SON,2000
2,71177,inference,SON,2000
2,71172,inference,SON,2000
2,71173,inference,SON,2000
2,71179,inference,SON,2000
2,72037,validation,SON,2000
2,72038,inference,SON,2000
2,59858,inference,DJF,2000
2,71475,validation,MAM,2000
2,78919,inference,JJA,2000
2,79181,inference,SON,2000
2,79291,validation,MAM,2000
2,79296,inference,MAM,2000
2,79224,inference,SON,2000
2,79228,validation,JJA,2000
2,75193,inference,JJA,2000
2,82242,validation,DJF,2010
2,93015,inference,SON,2010
2,89826,validation,DJF,2000
2,92916,inference,DJF,2010
2,89822,inference,JJA,2010
2,88582,inference,DJF,2010
2,88590,inference,SON,2010
2,98936,validation,SON,2010
2,90466,inference,JJA,2010
2,81994,inference,JJA,2010
2,40176,inference,DJF,2010
2,82413,inference,MAM,2010
2,82447,inference,DJF,2010
2,93001,validation,JJA,2010
2,37032,inference,DJF,2010
2,39891,inference,SON,2010
2,39890,validation,SON,2010
2,81921,inference,SON,2010
2,81916,inference,SON,2010
2,107572,validation,SON,2010
2,101569,inference,MAM,2010
2,107573,inference,MAM,2010
2,101675,inference,MAM,2010
2,101818,inference,MAM,2010
2,101988,inference,MAM,2010
2,101907,inference,JJA,2010
2,101551,inference,JJA,2010
2,300034012724770,inference,MAM,2010
2,107588,inference,MAM,2010
2,101575,validation,JJA,2010
2,101618,inference,DJF,2010
2,123247,inference,DJF,2010
2,114550,validation,MAM,2010
2,109235,inference,MAM,2010
2,122602,inference,SON,2010
2,101623,validation,SON,2010
2,116059,validation,SON,2010
2,122668,inference,DJF,2010
2,122674,validation,DJF,2010
2,114599,inference,SON,2010
2,135914,inference,SON,2010
2,116148,inference,SON,2010
2,123286,validation,MAM,2010
2,116365,validation,MAM,2010
2,116067,inference,MAM,2010
2,133240,inference,JJA,2010
2,300234060018400,inference,JJA,2010
2,133211,inference,JJA,2010
2,139081,inference,SON,2010
2,114793,validation,SON,2010
2,114794,inference,SON,2010
2,300234061477400,validation,DJF,2010
2,132540,inference,SON,2010
2,132542,inference,MAM,2010
2,132543,validation,JJA,2010
2,132504,inference,JJA,2010
2,139742,validation,SON,2010
2,145792,inference,JJA,2010
2,139771,inference,SON,2010
2,145813,inference,DJF,2010
2,300234063648930,inference,JJA,2010
2,300234063225620,inference,DJF,2010
2,300234063640940,inference,SON,2010
2,300234063997620,inference,SON,2010
2,300234063128200,inference,MAM,2010
2,300234063746360,inference,DJF,2010
2,300234064014100,validation,MAM,2010
2,300234064018110,inference,MAM,2010
2,300234063251240,inference,JJA,2010
2,300234063250690,validation,SON,2010
2,300234064015090,inference,MAM,2010
2,300234064909860,inference,JJA,2010
2,300234064017030,inference,DJF,2010
2,300234063515980,inference,SON,2010
2,300234064015050,inference,SON,2010
2,300234064015000,inference,SON,2010
2,300234064015420,inference,SON,2010
2,300234064011410,validation,JJA,2010
2,300234065317820,inference,SON,2010
2,300234063942770,inference,SON,2010
2,300234064909820,validation,DJF,2010
2,300234065382690,validation,MAM,2010
2,300234065317890,validation,JJA,2010
2,101622,inference,SON,2010
2,300234065317720,inference,JJA,2010
2,300234063940880,inference,JJA,2010
2,300234065311630,inference,DJF,2010
2,145689,inference,MAM,2010
2,145711,validation,DJF,2010
2,300234066399370,inference,MAM,2010
2,300234067876670,validation,DJF,2020
2,300234065703970,inference,DJF,2020
2,300234065311730,inference,JJA,2020
2,300234065311650,inference,JJA,2020
2,300234067548160,inference,DJF,2020
2,300534061557870,inference,JJA,2020
2,300534061551810,inference,JJA,2020
2,300534061551870,inference,SON,2020
2,300534061551860,inference,MAM,2020
2,300234061199810,validation,MAM,2020
2,300234060159340,inference,DJF,2020
2,300534063920500,inference,JJA,2020
2,300234061198840,inference,SON,2020
2,300534064294290,inference,SON,2020
2,300534064036970,validation,JJA,2020
2,300534064034990,validation,JJA,2020
2,300534064295230,inference,SON,2020
